w2,l,z1,L,ngdl,nel,eta,R,file
31858.28397,2,0,14.999,3993,1000,0.284078887,9.304639634,SiCube_l2_0_0_000_L_14_999.json
35972.73624,2,0,20.436,3993,1000,0.411289946,12.6774862,SiCube_l2_0_0_000_L_20_436.json
125665.1349,2,0,25.884,3993,1000,0.973653109,16.05715663,SiCube_l2_0_0_000_L_25_884.json
17197.8306,2,0,9.566,3993,1000,0.13311674,5.934274467,SiCube_l2_0_0_000_L_9_566.json
433283.7019,2,0.1,14.999,3993,1000,1.047644518,9.304639634,SiCube_l2_0_0_100_L_14_999.json
308984.9862,2,0.1,20.436,3993,1000,1.205396832,12.6774862,SiCube_l2_0_0_100_L_20_436.json
228350.4235,2,0.1,25.884,3993,1000,1.312495324,16.05715663,SiCube_l2_0_0_100_L_25_884.json
670359.5271,2,0.1,9.566,3993,1000,0.831093207,5.934274467,SiCube_l2_0_0_100_L_9_566.json
537023.58,2,0.2,14.999,3993,1000,1.166338055,9.304639634,SiCube_l2_0_0_200_L_14_999.json
355560.5109,2,0.2,20.436,3993,1000,1.293058334,12.6774862,SiCube_l2_0_0_200_L_20_436.json
252556.664,2,0.2,25.884,3993,1000,1.380308843,16.05715663,SiCube_l2_0_0_200_L_25_884.json
959498.2651,2,0.2,9.566,3993,1000,0.994301138,5.934274467,SiCube_l2_0_0_200_L_9_566.json
633271.4813,2,0.3,14.999,3993,1000,1.266551149,9.304639634,SiCube_l2_0_0_300_L_14_999.json
399004.6232,2,0.3,20.436,3993,1000,1.369778423,12.6774862,SiCube_l2_0_0_300_L_20_436.json
275422.5779,2,0.3,25.884,3993,1000,1.441440179,16.05715663,SiCube_l2_0_0_300_L_25_884.json
1235008.14,2,0.3,9.566,3993,1000,1.128056233,5.934274467,SiCube_l2_0_0_300_L_9_566.json
726269.1964,2,0.4,14.999,3993,1000,1.356365018,9.304639634,SiCube_l2_0_0_400_L_14_999.json
440902.0656,2,0.4,20.436,3993,1000,1.439900305,12.6774862,SiCube_l2_0_0_400_L_20_436.json
297565.9346,2,0.4,25.884,3993,1000,1.498264398,16.05715663,SiCube_l2_0_0_400_L_25_884.json
1505849.354,2,0.4,9.566,3993,1000,1.245622955,5.934274467,SiCube_l2_0_0_400_L_9_566.json
817536.8946,2,0.5,14.999,3993,1000,1.439068439,9.304639634,SiCube_l2_0_0_500_L_14_999.json
481888.1608,2,0.5,20.436,3993,1000,1.505339596,12.6774862,SiCube_l2_0_0_500_L_20_436.json
319252.8164,2,0.5,25.884,3993,1000,1.55190175,16.05715663,SiCube_l2_0_0_500_L_25_884.json
1774538.742,2,0.5,9.566,3993,1000,1.352192685,5.934274467,SiCube_l2_0_0_500_L_9_566.json
907770.3933,2,0.6,14.999,3993,1000,1.516406981,9.304639634,SiCube_l2_0_0_600_L_14_999.json
522284.8084,2,0.6,20.436,3993,1000,1.567166191,12.6774862,SiCube_l2_0_0_600_L_20_436.json
340626.8726,2,0.6,25.884,3993,1000,1.603010281,16.05715663,SiCube_l2_0_0_600_L_25_884.json
2042059.746,2,0.6,9.566,3993,1000,1.450541177,5.934274467,SiCube_l2_0_0_600_L_9_566.json
997335.5001,2,0.7,14.999,3993,1000,1.589455623,9.304639634,SiCube_l2_0_0_700_L_14_999.json
562276.128,2,0.7,20.436,3993,1000,1.626058551,12.6774862,SiCube_l2_0_0_700_L_20_436.json
361775.124,2,0.7,25.884,3993,1000,1.652023438,16.05715663,SiCube_l2_0_0_700_L_25_884.json
